(6, 20, 25, 1)
(7, 20, 25, 1)
(11, 20, 25, 1)
(14, 20, 25, 1)
(18, 20, 25, 1)
(6, 21, 25, 1)
(10, 21, 25, 1)
(14, 21, 25, 1)
(18, 21, 25, 1)
(5, 22, 25, 1)
(6, 22, 25, 1)
(8, 22, 25, 1)
(9, 22, 25, 1)
(11, 22, 25, 1)
(12, 22, 25, 1)
(14, 22, 25, 1)
(15, 22, 25, 1)
(17, 22, 25, 1)
(18, 22, 25, 1)
(20, 22, 25, 1)
(12, 15, 26, 1)
(13, 16, 26, 1)
(10, 17, 26, 1)
(12, 17, 26, 1)
(9, 18, 26, 1)
(11, 18, 26, 1)
(13, 18, 26, 1)
(15, 18, 26, 1)
(8, 19, 26, 1)
(10, 19, 26, 1)
(14, 19, 26, 1)
(16, 19, 26, 1)
(7, 20, 26, 1)
(9, 20, 26, 1)
(13, 20, 26, 1)
(15, 20, 26, 1)
(8, 21, 26, 1)
(10, 21, 26, 1)
(12, 21, 26, 1)
(14, 21, 26, 1)
(18, 21, 26, 1)
(5, 22, 26, 1)
(7, 22, 26, 1)
(9, 22, 26, 1)
(11, 22, 26, 1)
(13, 22, 26, 1)
(15, 22, 26, 1)
(17, 22, 26, 1)
(19, 22, 26, 1)
(4, 23, 26, 1)
(6, 23, 26, 1)
(10, 23, 26, 1)
(12, 23, 26, 1)
(16, 23, 26, 1)
(18, 23, 26, 1)
(12, 14, 27, 1)
(10, 16, 27, 1)
(11, 16, 27, 1)
(12, 16, 27, 1)
(13, 16, 27, 1)
(14, 16, 27, 1)
(10, 17, 27, 1)
(14, 17, 27, 1)
(10, 18, 27, 1)
(11, 18, 27, 1)
(13, 18, 27, 1)
(14, 18, 27, 1)
(16, 18, 27, 1)
(8, 19, 27, 1)
(10, 19, 27, 1)
(12, 19, 27, 1)
(14, 19, 27, 1)
(16, 19, 27, 1)
(7, 20, 27, 1)
(8, 20, 27, 1)
(9, 20, 27, 1)
(10, 20, 27, 1)
(11, 20, 27, 1)
(12, 20, 27, 1)
(14, 20, 27, 1)
(15, 20, 27, 1)
(16, 20, 27, 1)
(17, 20, 27, 1)
(18, 20, 27, 1)
(8, 21, 27, 1)
(10, 21, 27, 1)
(14, 21, 27, 1)
(16, 21, 27, 1)
(4, 22, 27, 1)
(5, 22, 27, 1)
(6, 22, 27, 1)
(8, 22, 27, 1)
(9, 22, 27, 1)
(10, 22, 27, 1)
(11, 22, 27, 1)
(13, 22, 27, 1)
(14, 22, 27, 1)
(15, 22, 27, 1)
(16, 22, 27, 1)
(18, 22, 27, 1)
(19, 22, 27, 1)
(20, 22, 27, 1)
(4, 23, 27, 1)
(6, 23, 27, 1)
(8, 23, 27, 1)
(10, 23, 27, 1)
(12, 23, 27, 1)
(14, 23, 27, 1)
(16, 23, 27, 1)
(18, 23, 27, 1)
(20, 23, 27, 1)
(4, 24, 27, 1)
(5, 24, 27, 1)
(7, 24, 27, 1)
(8, 24, 27, 1)
(10, 24, 27, 1)
(11, 24, 27, 1)
(13, 24, 27, 1)
(14, 24, 27, 1)
(16, 24, 27, 1)
(17, 24, 27, 1)
(19, 24, 27, 1)
(20, 24, 27, 1)
(22, 24, 27, 1)
(14, 17, 28, 1)
(11, 18, 28, 1)
(15, 18, 28, 1)
(12, 19, 28, 1)
(14, 19, 28, 1)
(11, 20, 28, 1)
(15, 20, 28, 1)
(10, 21, 28, 1)
(18, 21, 28, 1)
(9, 22, 28, 1)
(11, 22, 28, 1)
(15, 22, 28, 1)
(17, 22, 28, 1)
(6, 23, 28, 1)
(10, 23, 28, 1)
(12, 23, 28, 1)
(14, 23, 28, 1)
(16, 23, 28, 1)
(20, 23, 28, 1)
(7, 24, 28, 1)
(11, 24, 28, 1)
(15, 24, 28, 1)
